,Estado,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,et0_fao_evapotranspiration,focuses
776,MATO GROSSO,2021/01,29.835483870967742,21.958064516129035,25.112903225806452,211.8,211.8,242.0,4.196451612903226,73.0
777,MATO GROSSO,2021/02,28.614285714285717,21.667857142857144,24.335714285714285,271.5,271.5,310.0,3.494642857142857,31.0
778,MATO GROSSO,2021/03,28.532258064516128,21.229032258064517,24.17096774193548,191.7,191.7,284.0,3.4283870967741934,26.0
779,MATO GROSSO,2021/04,29.753333333333334,21.57,25.009999999999998,95.6,95.6,127.0,3.9473333333333334,69.0
780,MATO GROSSO,2021/05,30.59032258064516,20.338709677419356,24.938709677419357,18.7,18.7,24.0,4.176129032258065,298.0
781,MATO GROSSO,2021/06,30.84,19.996666666666666,24.923333333333336,0.0,0.0,0.0,4.172666666666667,722.0
782,MATO GROSSO,2021/07,31.261290322580646,18.46451612903226,24.26451612903226,0.0,0.0,0.0,4.906129032258065,475.0
783,MATO GROSSO,2021/08,34.40967741935484,21.029032258064515,27.261290322580646,0.0,0.0,0.0,5.867741935483871,1928.0
784,MATO GROSSO,2021/09,34.263333333333335,22.863333333333333,28.006666666666668,25.3,25.3,33.0,5.05,1384.0
785,MATO GROSSO,2021/10,32.32258064516129,22.961290322580645,26.816129032258065,118.4,118.4,130.0,4.668387096774193,365.0
786,MATO GROSSO,2021/11,28.533333333333335,21.716666666666665,24.220000000000002,363.8,363.8,408.0,3.391,78.0
787,MATO GROSSO,2021/12,28.251612903225805,22.083870967741937,24.45483870967742,322.2,322.2,379.0,3.2745161290322584,32.0
788,MATO GROSSO,2022/01,29.1,21.73548387096774,24.738709677419354,186.9,186.9,342.0,4.010322580645161,73.0
789,MATO GROSSO,2022/02,28.678571428571427,21.582142857142856,24.400000000000002,286.4,286.4,348.0,3.6007142857142855,32.0
790,MATO GROSSO,2022/03,29.59032258064516,21.75483870967742,24.825806451612905,221.7,221.7,361.0,3.8419354838709676,39.0
791,MATO GROSSO,2022/04,30.96333333333333,21.726666666666667,25.91,23.4,23.4,92.0,4.3983333333333325,130.0
792,MATO GROSSO,2022/05,31.467741935483872,19.793548387096774,25.148387096774194,1.1,1.1,9.0,4.79,982.0
793,MATO GROSSO,2022/06,31.68,20.209999999999997,25.403333333333332,0.7,0.7,7.0,4.474333333333333,934.0
794,MATO GROSSO,2022/07,32.97096774193548,20.23548387096774,26.05806451612903,0.0,0.0,0.0,5.217096774193548,655.0
795,MATO GROSSO,2022/08,34.403225806451616,21.0,27.238709677419354,0.3,0.3,2.0,5.889032258064516,3592.0
796,MATO GROSSO,2022/09,35.11,22.846666666666668,28.533333333333335,20.8,20.8,43.0,5.845333333333333,3150.0
797,MATO GROSSO,2022/10,32.89677419354839,22.751612903225805,26.89677419354839,128.6,128.6,168.0,4.774516129032258,356.0
798,MATO GROSSO,2022/11,30.736666666666668,21.203333333333333,25.33,140.2,140.2,226.0,4.8133333333333335,213.0
799,MATO GROSSO,2022/12,27.58709677419355,21.509677419354837,23.92258064516129,324.0,324.0,439.0,3.0570967741935484,42.0
800,MATO GROSSO,2023/01,28.529032258064515,21.174193548387095,24.05483870967742,296.6,296.6,379.0,3.760967741935484,29.0
801,MATO GROSSO,2023/02,30.357142857142858,21.864285714285717,25.260714285714283,178.1,178.1,295.0,4.2375,39.0
802,MATO GROSSO,2023/03,28.793548387096774,21.358064516129033,24.33225806451613,260.9,260.9,313.0,3.5290322580645164,18.0
803,MATO GROSSO,2023/04,29.68,21.60666666666667,24.96333333333333,122.3,122.3,197.0,3.8583333333333334,92.0
804,MATO GROSSO,2023/05,31.849999999999998,20.979166666666668,25.849999999999998,4.9,4.9,18.0,4.42,
920,PARÁ,2019/08,33.567741935483866,24.051612903225806,28.32903225806452,24.2,24.2,43.0,4.92225806451613,5134.0
921,PARÁ,2019/09,34.583333333333336,25.009999999999998,29.136666666666667,12.4,12.4,34.0,5.359333333333334,1793.0
922,PARÁ,2019/10,33.061290322580646,24.53548387096774,28.20967741935484,52.9,52.9,131.0,4.785161290322581,1760.0
923,PARÁ,2019/11,32.27333333333333,24.796666666666667,28.016666666666666,84.7,84.7,151.0,4.4,3059.0
924,PARÁ,2019/12,30.429032258064513,24.11935483870968,26.74516129032258,198.8,198.8,277.0,3.571290322580645,556.0
925,PARÁ,2020/01,29.19677419354839,23.496774193548386,25.799999999999997,192.0,192.0,288.0,3.1535483870967744,48.0
926,PARÁ,2020/02,28.731034482758623,23.444827586206895,25.52758620689655,190.0,190.0,291.0,2.8234482758620687,11.0
927,PARÁ,2020/03,29.648387096774194,23.529032258064515,25.98709677419355,296.6,296.6,321.0,3.341290322580645,13.0
928,PARÁ,2020/04,29.253333333333334,23.35,25.7,281.90000000000003,281.90000000000003,389.0,2.867,
929,PARÁ,2020/05,29.73548387096774,23.851612903225806,26.31935483870968,240.39999999999998,240.39999999999998,268.0,3.22741935483871,14.0
930,PARÁ,2020/06,29.973333333333336,23.243333333333332,26.276666666666664,34.3,34.3,96.0,3.634666666666667,108.0
931,PARÁ,2020/07,32.49032258064516,23.648387096774194,27.73548387096774,5.7,5.7,31.0,4.61483870967742,1098.0
932,PARÁ,2020/08,33.65161290322581,23.925806451612903,28.506451612903227,41.0,41.0,46.0,5.263548387096774,6401.0
933,PARÁ,2020/09,33.833333333333336,24.573333333333334,28.816666666666666,8.8,8.8,32.0,5.260666666666666,4429.0
934,PARÁ,2020/10,34.58709677419355,25.241935483870968,29.348387096774193,20.0,20.0,49.0,5.653548387096774,3539.0
935,PARÁ,2020/11,30.39,23.94,26.67,225.4,225.4,257.0,3.6296666666666666,915.0
936,PARÁ,2020/12,29.9741935483871,23.635483870967743,26.26451612903226,212.2,212.2,271.0,3.5906451612903227,707.0
937,PARÁ,2021/01,28.719354838709677,22.970967741935485,25.322580645161292,347.3,347.3,369.0,2.9348387096774196,73.0
938,PARÁ,2021/02,29.060714285714287,23.175,25.525000000000002,244.4,244.4,322.0,3.150714285714286,78.0
939,PARÁ,2021/03,28.81935483870968,22.851612903225806,25.206451612903226,248.5,248.5,343.0,3.0580645161290323,4.0
940,PARÁ,2021/04,29.523333333333333,23.23,25.846666666666668,283.8,283.8,324.0,3.2430000000000003,5.0
941,PARÁ,2021/05,29.700000000000003,23.419354838709676,26.22258064516129,106.39999999999999,106.39999999999999,214.0,3.452258064516129,29.0
942,PARÁ,2021/06,29.8,23.413333333333334,26.17,54.6,54.6,118.0,3.4903333333333335,61.0
943,PARÁ,2021/07,30.770967741935483,23.374193548387098,26.674193548387095,43.3,43.3,81.0,3.9012903225806452,537.0
944,PARÁ,2021/08,33.061290322580646,24.019354838709678,28.10967741935484,36.1,36.1,53.0,4.765806451612904,4806.0
945,PARÁ,2021/09,32.75333333333334,24.363333333333333,27.983333333333334,56.4,56.4,98.0,4.786333333333333,1901.0
946,PARÁ,2021/10,33.21290322580645,24.774193548387096,28.448387096774194,69.1,69.1,131.0,5.064838709677419,2061.0
947,PARÁ,2021/11,30.86,23.973333333333336,26.933333333333334,208.4,208.4,233.0,3.9673333333333334,1292.0
948,PARÁ,2021/12,29.780645161290323,23.79032258064516,26.20967741935484,317.9,317.9,347.0,3.2087096774193546,152.0
949,PARÁ,2022/01,28.493548387096773,22.758064516129032,25.164516129032258,373.7,373.7,472.0,3.0735483870967744,52.0
950,PARÁ,2022/02,29.275000000000002,23.00714285714286,25.54642857142857,401.7,401.7,409.0,3.2032142857142856,2.0
951,PARÁ,2022/03,28.616129032258065,22.94516129032258,25.193548387096776,435.7,435.7,502.0,2.801290322580645,4.0
952,PARÁ,2022/04,29.153333333333332,23.029999999999998,25.433333333333334,264.7,264.7,398.0,3.0176666666666665,10.0
953,PARÁ,2022/05,29.364516129032257,23.306451612903224,25.864516129032257,117.0,117.0,292.0,3.3087096774193547,25.0
954,PARÁ,2022/06,29.226666666666667,22.653333333333332,25.64333333333333,121.60000000000001,121.60000000000001,245.0,3.3890000000000002,128.0
955,PARÁ,2022/07,30.90967741935484,23.52258064516129,26.870967741935484,28.0,28.0,106.0,3.9570967741935483,736.0
956,PARÁ,2022/08,32.89032258064516,23.68064516129032,27.809677419354838,21.5,21.5,64.0,4.743548387096774,7803.0
957,PARÁ,2022/09,34.02666666666667,24.483333333333334,28.836666666666666,10.1,10.1,54.0,5.489,6724.0
958,PARÁ,2022/10,33.40967741935484,24.983870967741936,28.638709677419353,50.9,50.9,148.0,5.083548387096775,3544.0
959,PARÁ,2022/11,31.366666666666667,24.10666666666667,27.09333333333333,169.4,169.4,292.0,4.139,352.0
960,PARÁ,2022/12,29.774193548387096,23.193548387096776,25.89032258064516,301.6,301.6,397.0,3.514516129032258,123.0
961,PARÁ,2023/01,28.677419354838708,22.68064516129032,25.08709677419355,271.2,271.2,468.0,3.0606451612903225,31.0
962,PARÁ,2023/02,28.832142857142856,22.892857142857142,25.2,247.9,247.9,384.0,3.0060714285714285,8.0
963,PARÁ,2023/03,28.677419354838708,22.770967741935483,25.125806451612902,417.8,417.8,465.0,2.9125806451612903,2.0
964,PARÁ,2023/04,29.14,23.116666666666667,25.626666666666665,222.4,222.4,329.0,3.1516666666666664,2.0
965,PARÁ,2023/05,29.4375,23.625,26.229166666666668,159.8,159.8,278.0,3.1508333333333334,
1081,RONDÔNIA,2019/08,31.864516129032257,19.983870967741936,25.316129032258065,34.3,34.3,42.0,4.5,3472.0
1082,RONDÔNIA,2019/09,32.413333333333334,22.84333333333333,26.876666666666665,80.4,80.4,79.0,4.282666666666667,2195.0
1083,RONDÔNIA,2019/10,30.06451612903226,21.967741935483872,25.190322580645162,91.9,91.9,141.0,3.9780645161290327,279.0
1084,RONDÔNIA,2019/11,29.59,22.37,25.220000000000002,146.7,146.7,220.0,3.7060000000000004,140.0
1085,RONDÔNIA,2019/12,29.6,22.570967741935487,25.15806451612903,216.4,216.4,291.0,3.503225806451613,29.0
1086,RONDÔNIA,2020/01,29.706451612903226,22.79032258064516,25.496774193548386,160.8,160.8,242.0,3.5374193548387094,21.0
1087,RONDÔNIA,2020/02,28.74137931034483,22.348275862068967,24.837931034482757,242.9,242.9,294.0,3.193103448275862,9.0
